Home,Away,lambda_mandante,lambda_visitante,prob_H,prob_D,prob_A,gols_esperados_mandante,gols_esperados_visitante,gols_esperados_total,prob_over_25,prob_under_25,prob_ambas_marcam,prob_mandante_marca,prob_visitante_marca,placar_mais_provavel,prob_placar_mais_provavel,cotacao_minima_H,cotacao_minima_D,cotacao_minima_A,cotacao_minima_over_25,cotacao_minima_ambas_marcam,favorito
Bragantino,Cruzeiro,1.22468,1.07452,0.39725,0.27962,0.32313,1.22468,1.07452,2.29919,0.40375,0.59625,0.46347,0.70615,0.65854,1-1,0.13049,2.51732,3.57628,3.0947,2.47679,2.15762,Bragantino
Bragantino,Fluminense,1.30836,1.09523,0.41587,0.27137,0.31276,1.30836,1.09523,2.4036,0.43123,0.56877,0.48415,0.72974,0.66554,1-1,0.12801,2.40458,3.68501,3.19736,2.31894,2.06548,Bragantino
Bragantino,Mirassol,1.44161,1.19435,0.42916,0.25655,0.31429,1.44161,1.19435,2.63596,0.49056,0.50944,0.53075,0.76345,0.6971,1-1,0.12192,2.33014,3.89784,3.18178,2.03848,1.88411,Bragantino
Bragantino,Santos,1.54437,1.06384,0.48551,0.25164,0.26285,1.54436,1.06384,2.6082,0.48363,0.51637,0.51367,0.78655,0.65487,1-1,0.11961,2.05969,3.97397,3.80443,2.0677,1.94678,Bragantino
Bragantino,Vasco,1.69725,1.05221,0.52604,0.23784,0.23612,1.69723,1.05221,2.74944,0.51841,0.48159,0.53027,0.81681,0.65083,1-1,0.11289,1.90099,4.20449,4.23516,1.92897,1.88584,Bragantino
Chapecoense-SC,Athletico-PR,1.07551,1.4957,0.27394,0.25577,0.47029,1.07551,1.49569,2.5712,0.47432,0.52568,0.50978,0.65888,0.77591,1-1,0.12153,3.65043,3.90984,2.12632,2.10829,1.96162,Athletico-PR
Chapecoense-SC,Cruzeiro,0.98352,1.48897,0.25114,0.25834,0.49052,0.98352,1.48897,2.47248,0.44911,0.55089,0.48333,0.62601,0.7744,0-1,0.12708,3.98189,3.8708,2.03866,2.22662,2.069,Cruzeiro
Chapecoense-SC,Fluminense,1.05073,1.51768,0.26388,0.25432,0.4818,1.05073,1.51767,2.5684,0.47361,0.52639,0.50632,0.65032,0.78078,1-1,0.12081,3.78961,3.9321,2.07554,2.11144,1.97504,Fluminense
Chapecoense-SC,Mirassol,1.15774,1.65502,0.26821,0.24073,0.49105,1.15774,1.65501,2.81274,0.53358,0.46642,0.5534,0.6858,0.80891,1-1,0.11369,3.72839,4.15396,2.03644,1.87413,1.807,Mirassol
Chapecoense-SC,Palmeiras,0.8134,1.91216,0.15396,0.21218,0.63386,0.8134,1.91211,2.72551,0.51261,0.48739,0.4732,0.55665,0.85224,0-1,0.12646,6.49533,4.71294,1.57763,1.95079,2.11326,Palmeiras
Chapecoense-SC,Vasco,1.36303,1.45805,0.35422,0.24861,0.39716,1.36303,1.45805,2.82108,0.53556,0.46444,0.56958,0.74412,0.76731,1-1,0.11694,2.82308,4.02228,2.51787,1.86722,1.75568,Vasco
Corinthians,Botafogo RJ,1.26787,1.06474,0.41158,0.2764,0.31202,1.26787,1.06474,2.33261,0.41259,0.58741,0.46926,0.71857,0.65518,1-1,0.12946,2.42965,3.61793,3.20494,2.42371,2.13103,Corinthians
Corinthians,Gremio,1.41955,0.9647,0.47673,0.26577,0.25749,1.41955,0.9647,2.38425,0.42617,0.57383,0.46776,0.75818,0.6189,1-0,0.1323,2.09762,3.76259,3.88359,2.34647,2.13786,Corinthians
Corinthians,Mirassol,1.35794,1.07791,0.43332,0.26787,0.29881,1.35794,1.07791,2.43585,0.43963,0.56037,0.48852,0.74281,0.65969,1-1,0.12661,2.30775,3.73316,3.34664,2.27464,2.04699,Corinthians
Corinthians,Vitoria,1.51448,0.79584,0.54443,0.25727,0.1983,1.51448,0.79584,2.31032,0.4067,0.5933,0.4267,0.78008,0.5488,1-0,0.15168,1.83677,3.88704,5.04283,2.45883,2.34355,Corinthians
Coritiba,Botafogo RJ,1.25746,1.49716,0.32023,0.25029,0.42948,1.25746,1.49716,2.75461,0.51966,0.48034,0.55409,0.71562,0.77624,1-1,0.11839,3.12274,3.99534,2.32841,1.92434,1.80478,Botafogo RJ
Coritiba,Flamengo RJ,1.04142,1.90451,0.20469,0.21894,0.57637,1.04142,1.90446,2.94588,0.56459,0.43541,0.54948,0.64705,0.8511,1-1,0.10301,4.88544,4.56737,1.73501,1.77121,1.8199,Flamengo RJ
Coritiba,Gremio,1.40789,1.35649,0.38584,0.25176,0.3624,1.40789,1.35649,2.76438,0.52201,0.47799,0.55938,0.75534,0.74244,1-1,0.11893,2.59174,3.97208,2.75938,1.91566,1.78769,Coritiba
Coritiba,Santos,1.44279,1.35005,0.39601,0.25007,0.35392,1.44278,1.35005,2.79283,0.52884,0.47116,0.56435,0.76373,0.74077,1-1,0.1179,2.52517,3.99891,2.8255,1.89094,1.77195,Coritiba
Coritiba,Vitoria,1.50204,1.11906,0.46179,0.25413,0.28408,1.50204,1.11906,2.6211,0.48685,0.51315,0.52203,0.77733,0.67341,1-1,0.1208,2.16547,3.93503,3.52015,2.054,1.91562,Coritiba
Cruzeiro,Bahia,1.5387,0.938,0.51455,0.25388,0.23157,1.53869,0.938,2.47669,0.4502,0.5498,0.47653,0.78534,0.60859,1-0,0.13071,1.94345,3.93885,4.31836,2.22125,2.09852,Cruzeiro
Cruzeiro,Internacional,1.40927,0.87433,0.49634,0.26895,0.23471,1.40926,0.87433,2.28359,0.39961,0.60039,0.43898,0.75568,0.58286,1-0,0.1451,2.01476,3.71811,4.26059,2.50247,2.27802,Cruzeiro
Cruzeiro,Palmeiras,1.03893,1.15043,0.32769,0.28842,0.3839,1.03893,1.15043,2.18936,0.37443,0.62557,0.44008,0.64617,0.6835,1-1,0.13228,3.05169,3.4672,2.60488,2.67072,2.2723,Palmeiras
Cruzeiro,Remo,1.92618,0.80883,0.638,0.21052,0.15148,1.92612,0.80883,2.73495,0.51491,0.48509,0.47262,0.85429,0.55462,1-0,0.12619,1.56741,4.7501,6.60145,1.9421,2.11586,Cruzeiro
Cruzeiro,Sao Paulo,1.32696,0.84564,0.48081,0.27932,0.23987,1.32696,0.84564,2.1726,0.36993,0.63007,0.41781,0.73472,0.57072,1-0,0.15262,2.0798,3.58018,4.16893,2.70322,2.39341,Cruzeiro
Flamengo RJ,Athletico-PR,1.91864,0.81909,0.63382,0.2117,0.15448,1.91859,0.81909,2.73768,0.51557,0.48443,0.47588,0.85319,0.55917,1-0,0.12536,1.57774,4.72364,6.47326,1.9396,2.10135,Flamengo RJ
Flamengo RJ,Atletico-MG,1.91831,0.83795,0.62903,0.2124,0.15857,1.91826,0.83795,2.75621,0.52005,0.47995,0.48288,0.85314,0.5674,1-0,0.12307,1.58975,4.708,6.30651,1.92289,2.07092,Flamengo RJ
Flamengo RJ,Chapecoense-SC,2.91626,0.6384,0.83416,0.11114,0.05471,2.91433,0.6384,3.55273,0.68907,0.31093,0.44569,0.94585,0.47186,2-0,0.12161,1.19882,8.99784,18.27946,1.45123,2.24373,Flamengo RJ
Flamengo RJ,Fluminense,1.87443,0.83113,0.62124,0.21681,0.16195,1.87438,0.83113,2.70551,0.50773,0.49227,0.47661,0.84656,0.56444,1-0,0.1265,1.60968,4.61242,6.17462,1.96954,2.09815,Flamengo RJ
Flamengo RJ,Gremio,2.15903,0.81116,0.68404,0.1869,0.12906,2.15888,0.81116,2.97004,0.57009,0.42991,0.49046,0.88456,0.55566,2-0,0.11955,1.4619,5.35041,7.74838,1.75411,2.03892,Flamengo RJ
